path,absolutePath,bytes,files,directBytes,directFiles,directories,readErrors,skippedReparsePoints,status,condition,trackedFiles,parentRow,external
C:/Users/Jobscn/.nuget/packages,C:\Users\Jobscn\.nuget\packages,2302481013,16976,0,0,9477,0,0,shared_unconfirmed,其他项目可能共用；仅列账，确认归属与占用后再由维护者清理,,,True
C:/Users/Jobscn/AppData/Local/NuGet,C:\Users\Jobscn\AppData\Local\NuGet,919099410,1963,0,0,5,0,0,shared_unconfirmed,其他项目可能共用；仅列账，确认归属与占用后再由维护者清理,,,True
C:/Users/Jobscn/AppData/Local/Temp/MSBuildTemp,C:\Users\Jobscn\AppData\Local\Temp\MSBuildTemp,0,0,0,0,0,0,0,shared_unconfirmed,其他项目可能共用；仅列账，确认归属与占用后再由维护者清理,,,True
C:/Users/Jobscn/AppData/Local/Temp/NuGetScratch,C:\Users\Jobscn\AppData\Local\Temp\NuGetScratch,0,0,0,0,1,0,0,shared_unconfirmed,其他项目可能共用；仅列账，确认归属与占用后再由维护者清理,,,True
C:/Users/Jobscn/AppData/Local/Temp/Unity,C:\Users\Jobscn\AppData\Local\Temp\Unity,158427885,6,0,0,5,0,0,shared_unconfirmed,其他项目可能共用；仅列账，确认归属与占用后再由维护者清理,,,True
C:/Users/Jobscn/AppData/Local/Temp/UnityCBMCrashes,C:\Users\Jobscn\AppData\Local\Temp\UnityCBMCrashes,0,0,0,0,0,0,0,shared_unconfirmed,其他项目可能共用；仅列账，确认归属与占用后再由维护者清理,,,True
C:/Users/Jobscn/AppData/Local/Unity/cache,C:\Users\Jobscn\AppData\Local\Unity\cache,246290184,1061,0,0,2271,0,0,shared_unconfirmed,其他项目可能共用；仅列账，确认归属与占用后再由维护者清理,,,True
.,D:\Developer\MiniGames\Dark Nights\unity-projects,17486493560,159786,30694,5,12061,0,0,retain_source,仓库源码／配置；不属于自动清理范围,3466,,False
.deps,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps,58483462,9678,0,0,878,0,0,retain_source,仓库源码／配置；不属于自动清理范围,0,.,False
.deps/FishNet,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\FishNet,10215798,2057,25895,10,224,0,0,dependency_checkout,锁定依赖；先确认未提交修改、本地提交及生成 DLL，后续构建仍需重建,0,.deps,False
.deps/FishNet/.git/logs,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\FishNet\.git\logs,185,1,185,1,0,0,0,retain_source,Git 对象／工作树登记属于恢复来源；不作为普通缓存清理,0,.deps/FishNet,False
.deps/FishNet/Assets/FishNet/Demos/ColliderRollback/Scripts/Player,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\FishNet\Assets\FishNet\Demos\ColliderRollback\Scripts\Player,4778,8,4778,8,0,0,0,retain_source,仓库源码／配置；不属于自动清理范围,0,.deps/FishNet,False
.deps/YYGC,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\YYGC,36513877,6284,37109,18,506,0,0,dependency_checkout,锁定依赖；先确认未提交修改、本地提交及生成 DLL，后续构建仍需重建,0,.deps,False
.deps/YYGC-unified,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\YYGC-unified,11753787,1337,37206,19,145,0,0,dependency_checkout,锁定依赖；先确认未提交修改、本地提交及生成 DLL，后续构建仍需重建,0,.deps,False
.deps/YYGC/.artifacts/vitalrouter-fix/VitalRouter-5c6cd79aad43bb3f128230e89aa282b59cde4a69/src/VitalRouter.MRuby/bin,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\YYGC\.artifacts\vitalrouter-fix\VitalRouter-5c6cd79aad43bb3f128230e89aa282b59cde4a69\src\VitalRouter.MRuby\bin,406,1,0,0,2,0,0,dependency_intermediate,依赖自带工具／生成器产物；先核对源文件、输出 DLL 依赖和本地修改，不自动清理,0,.deps/YYGC,False
.deps/YYGC/.git/logs,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\YYGC\.git\logs,2047,4,748,1,5,0,0,retain_source,Git 对象／工作树登记属于恢复来源；不作为普通缓存清理,0,.deps/YYGC,False
.deps/YYGC/.git/worktrees/YYGC-unified/logs,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\YYGC\.git\worktrees\YYGC-unified\logs,1072,1,1072,1,0,0,0,retain_source,Git 对象／工作树登记属于恢复来源；不作为普通缓存清理,0,.deps/YYGC,False
.deps/YYGC/tools/NetworkValidation~/VitalRouterFix.Tests/bin,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\YYGC\tools\NetworkValidation~\VitalRouterFix.Tests\bin,4627753,90,0,0,15,0,0,dependency_intermediate,依赖自带工具／生成器产物；先核对源文件、输出 DLL 依赖和本地修改，不自动清理,0,.deps/YYGC,False
.deps/YYGC/tools/NetworkValidation~/VitalRouterFix.Tests/obj,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\YYGC\tools\NetworkValidation~\VitalRouterFix.Tests\obj,186030,19,66155,5,4,0,0,dependency_intermediate,依赖自带工具／生成器产物；先核对源文件、输出 DLL 依赖和本地修改，不自动清理,0,.deps/YYGC,False
